"Date as of","Sex","Daily cases","Cumulative cases"
2022-08-08,"Female",1,1
2022-08-08,"Male",0,0
2022-08-09,"Female",0,1
2022-08-09,"Male",0,0
2022-08-10,"Female",0,1
2022-08-10,"Male",0,0
2022-08-11,"Female",0,1
2022-08-11,"Male",0,0
2022-08-12,"Female",0,1
2022-08-12,"Male",0,0
2022-08-13,"Female",0,1
2022-08-13,"Male",0,0
2022-08-14,"Female",0,1
2022-08-14,"Male",0,0
2022-08-15,"Female",0,1
2022-08-15,"Male",0,0
2022-08-16,"Female",0,1
2022-08-16,"Male",0,0
2022-08-17,"Female",1,2
2022-08-17,"Male",0,0
2022-08-18,"Female",0,2
2022-08-18,"Male",0,0
2022-08-19,"Female",0,2
2022-08-19,"Male",0,0
2022-08-20,"Female",2,4
2022-08-20,"Male",0,0
2022-08-21,"Female",0,4
2022-08-21,"Male",0,0
2022-08-22,"Female",0,4
2022-08-22,"Male",0,0
2022-08-23,"Female",0,4
2022-08-23,"Male",0,0
2022-08-24,"Female",0,4
2022-08-24,"Male",0,0
2022-08-25,"Female",0,4
2022-08-25,"Male",0,0
2022-08-26,"Female",0,4
2022-08-26,"Male",0,0
2022-08-27,"Female",1,5
2022-08-27,"Male",0,0
2022-08-28,"Female",0,5
2022-08-28,"Male",0,0
2022-08-29,"Female",0,5
2022-08-29,"Male",0,0
2022-08-30,"Female",0,5
2022-08-30,"Male",0,0
2022-08-31,"Female",0,5
2022-08-31,"Male",0,0
2022-09-01,"Female",0,5
2022-09-01,"Male",1,1
2022-09-02,"Female",0,5
2022-09-02,"Male",0,1
2022-09-03,"Female",1,6
2022-09-03,"Male",0,1
2022-09-04,"Female",1,7
2022-09-04,"Male",0,1
2022-09-05,"Female",1,8
2022-09-05,"Male",2,3
2022-09-06,"Female",0,8
2022-09-06,"Male",1,4
2022-09-07,"Female",1,9
2022-09-07,"Male",1,5
2022-09-08,"Female",1,10
2022-09-08,"Male",1,6
2022-09-09,"Female",1,11
2022-09-09,"Male",0,6
2022-09-10,"Female",0,11
2022-09-10,"Male",1,7
2022-09-11,"Female",1,12
2022-09-11,"Male",0,7
2022-09-12,"Female",2,14
2022-09-12,"Male",1,8
2022-09-13,"Female",1,15
2022-09-13,"Male",0,8
2022-09-14,"Female",0,15
2022-09-14,"Male",0,8
2022-09-15,"Female",0,15
2022-09-15,"Male",2,10
2022-09-16,"Female",1,16
2022-09-16,"Male",0,10
2022-09-17,"Female",3,19
2022-09-17,"Male",0,10
2022-09-18,"Female",0,19
2022-09-18,"Male",2,12
2022-09-19,"Female",2,21
2022-09-19,"Male",1,13
2022-09-20,"Female",3,24
2022-09-20,"Male",4,17
2022-09-21,"Female",0,24
2022-09-21,"Male",0,17
2022-09-22,"Female",3,27
2022-09-22,"Male",3,20
2022-09-23,"Female",0,27
2022-09-23,"Male",3,23
2022-09-24,"Female",3,30
2022-09-24,"Male",3,26
2022-09-25,"Female",0,30
2022-09-25,"Male",3,29
2022-09-26,"Female",1,31
2022-09-26,"Male",2,31
2022-09-27,"Female",0,31
2022-09-27,"Male",1,32
2022-09-28,"Female",0,31
2022-09-28,"Male",0,32
2022-09-29,"Female",0,31
2022-09-29,"Male",2,34
2022-09-30,"Female",0,31
2022-09-30,"Male",0,34
2022-10-01,"Female",0,31
2022-10-01,"Male",0,34
2022-10-02,"Female",1,32
2022-10-02,"Male",3,37
2022-10-03,"Female",1,33
2022-10-03,"Male",1,38
2022-10-04,"Female",1,34
2022-10-04,"Male",1,39
2022-10-05,"Female",0,34
2022-10-05,"Male",0,39
2022-10-06,"Female",1,35
2022-10-06,"Male",0,39
2022-10-07,"Female",1,36
2022-10-07,"Male",0,39
2022-10-08,"Female",0,36
2022-10-08,"Male",1,40
2022-10-09,"Female",1,37
2022-10-09,"Male",1,41
2022-10-10,"Female",0,37
2022-10-10,"Male",3,44
2022-10-11,"Female",0,37
2022-10-11,"Male",0,44
2022-10-12,"Female",1,38
2022-10-12,"Male",0,44
2022-10-13,"Female",2,40
2022-10-13,"Male",1,45
2022-10-14,"Female",1,41
2022-10-14,"Male",0,45
2022-10-15,"Female",1,42
2022-10-15,"Male",0,45
2022-10-16,"Female",1,43
2022-10-16,"Male",1,46
2022-10-17,"Female",1,44
2022-10-17,"Male",1,47
2022-10-18,"Female",1,45
2022-10-18,"Male",2,49
2022-10-19,"Female",3,48
2022-10-19,"Male",10,59
2022-10-20,"Female",1,49
2022-10-20,"Male",8,67
2022-10-21,"Female",3,52
2022-10-21,"Male",6,73
2022-10-22,"Female",3,55
2022-10-22,"Male",7,80
2022-10-23,"Female",3,58
2022-10-23,"Male",2,82
2022-10-24,"Female",1,59
2022-10-24,"Male",1,83
2022-10-25,"Female",2,61
2022-10-25,"Male",3,86
2022-10-26,"Female",0,61
2022-10-26,"Male",0,86
2022-10-27,"Female",0,61
2022-10-27,"Male",1,87
2022-10-28,"Female",0,61
2022-10-28,"Male",0,87
2022-10-29,"Female",1,62
2022-10-29,"Male",0,87
2022-10-30,"Female",0,62
2022-10-30,"Male",0,87
2022-10-31,"Female",0,62
2022-10-31,"Male",0,87
2022-11-01,"Female",2,64
2022-11-01,"Male",0,87
2022-11-02,"Female",1,65
2022-11-02,"Male",0,87
